scheme_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,returns_10yr
AXIS Focused 25 Fund,2.0,Equity,Focused Funds,-14.7,14.8,8.9,9.13
AXIS Children’s Gift Fund,2.0,Solution Oriented,Childrens Funds,-6.7,17.5,9.9,10.24
LIC MF Large Cap Fund,2.0,Equity,Large Cap Mutual Funds,-3.2,19.7,10.9,10.87
HSBC Tax Saver Equity Fund,2.0,Equity,ELSS Mutual Funds,-2.2,24.7,8.9,9.76
HSBC Flexi Cap Fund,2.0,Equity,Flexi Cap Funds,-1.2,26.4,9.2,9.95
IDBI Long Term Value Fund,2.0,Equity,Value Funds,-0.1,25.4,10.9,10.03
UTI-Nifty Next 50 Index Fund,2.0,Other,Index Funds,-6.4,22.2,10.9,10.69
Nippon India Nifty Next 50 Junior BeES FoF-Dir Growth,2.0,Other,FoFs Domestic,-5.8,21.8,10.9,9.85
HSBC Infrastructure Fund,2.0,Equity,Sectoral / Thematic Mutual Funds,11.3,33.6,9.3,9.37
Tata Equity P/E Fund,2.0,Equity,Value Funds,6.6,27.8,10.0,9.88
Tata Large Cap Fund,2.0,Equity,Large Cap Mutual Funds,1.8,25.7,11.3,10.91
AXIS Equity Hybrid Fund,2.0,Hybrid,Aggressive Hybrid Mutual Funds,-4.9,17.4,10.9,9.21
Franklin India Equity Advantage Fund,2.0,Equity,Large & Mid Cap Funds,-0.9,27.7,9.2,10.18
Sundaram Nifty 100 Equal Weight Fund,2.0,Other,Index Funds,-3.1,26.2,8.2,10.1
Indiabulls Value Fund,2.0,Equity,Value Funds,-0.2,25.6,6.3,9.55
Nippon India Index Fund,2.0,Other,Index Funds,0.9,26.0,11.9,10.58
Union Largecap Fund,2.0,Equity,Large Cap Mutual Funds,0.1,24.3,9.9,10.91
DSP Nifty Next 50 Index Fund,2.0,Other,Index Funds,-6.3,21.8,10.9,10.69
Sundaram Mid Cap Fund,2.0,Equity,Mid Cap Mutual Funds,4.3,27.4,8.2,9.36
LIC MF Tax Plan – Direct Growth,2.0,Equity,ELSS Mutual Funds,-1.9,20.5,9.9,9.78
Franklin India Prima Fund,2.0,Equity,Mid Cap Mutual Funds,4.5,26.6,10.0,9.31
AXIS Long Term Equity Fund,2.0,Equity,ELSS Mutual Funds,-11.1,15.7,9.4,9.74
Navi Large Cap Equity Fund,2.0,Equity,Large Cap Mutual Funds,0.2,32.6,12.4,10.9
Tata Retirement Savings Fund,2.0,Solution Oriented,Retirement Funds,-0.7,33.7,11.3,10.14
IDBI Equity Advantage Fund,2.0,Equity,ELSS Mutual Funds,-0.7,33.7,11.3,9.89
HDFC Capital Builder Value Fund,2.0,Equity,Value Funds,-0.7,33.7,11.3,10.03
Franklin India Bluechip Fund,2.0,Equity,Large Cap Mutual Funds,-1.0,25.1,9.7,10.9
Motilal Oswal Focused Fund,2.0,Equity,Focused Funds,2.6,20.4,10.6,9.3
HSBC Large Cap Fund,2.0,Equity,Large Cap Mutual Funds,0.0,23.3,10.6,10.91
Bandhan Focused Equity Fund,2.0,Equity,Focused Funds,-4.0,20.7,7.2,9.32
L&T India Large Cap Fund,2.0,Equity,Large Cap Mutual Funds,0.8,33.0,12.1,10.9
Quantum Equity Fund,2.0,Other,FoFs Domestic,-0.5,22.9,9.1,9.7
HSBC Managed Solutions Growth Fund,2.0,Other,FoFs Domestic,0.6,22.2,9.2,9.74
L&T Flexi Cap Fund,2.0,Equity,Flexi Cap Funds,-0.3,34.1,11.7,10.03
L&T Large & Midcap Fund,2.0,Equity,Large & Mid Cap Funds,1.7,36.2,12.0,10.26
Navi 3 In 1 Fund,2.0,Hybrid,Multi Asset Allocation Mutual Funds,0.2,32.6,12.4,9.85
HDFC Tax Saver Fund,2.0,Equity,ELSS Mutual Funds,10.0,31.0,10.3,9.83
DSP Focus Fund,2.0,Equity,Focused Funds,-1.7,20.4,8.9,9.2
UTI-Infrastructure Fund,2.0,Equity,Sectoral / Thematic Mutual Funds,12.9,28.0,9.4,9.36
Bandhan Flexi Cap Fund,2.0,Equity,Flexi Cap Funds,-3.2,21.4,8.4,9.82
Sundaram Diversified Equity – Direct Growth,2.0,Equity,ELSS Mutual Funds,2.2,26.1,8.9,9.76
Indiabulls Tax Savings Fund,2.0,Equity,ELSS Mutual Funds,1.0,22.3,7.8,9.73
Aditya Birla SL Equity Hybrid ’95 Fund,2.0,Hybrid,Aggressive Hybrid Mutual Funds,-5.7,20.4,7.7,9.02
Navi ELSS Tax Saver Fund,2.0,Equity,ELSS Mutual Funds,1.3,23.4,10.5,9.84
PGIM India Large Cap Fund,2.0,Equity,Large Cap Mutual Funds,4.7,24.1,10.9,10.87
HDFC Top 100 Fund,2.0,Equity,Large Cap Mutual Funds,6.6,28.6,11.9,10.9
Shriram Flexi Cap Fund,2.0,Equity,Flexi Cap Funds,1.4,21.5,10.9,9.91
Franklin India Life Stage Fund,2.0,Other,FoFs Domestic,-0.7,33.7,11.3,9.9
HSBC Managed Solutions Moderate Fund,2.0,Other,FoFs Domestic,1.2,19.0,8.7,9.69
HSBC Aggressive Hybrid Fund,2.0,Hybrid,Aggressive Hybrid Mutual Funds,-1.2,19.5,8.1,8.98
LIC MF Flexi Cap Fund,2.0,Equity,Flexi Cap Funds,-0.9,18.3,8.8,9.85
Sundaram Consumption Fund,2.0,Equity,Sectoral / Thematic Mutual Funds,7.3,22.5,8.8,9.34
IDBI Hybrid Equity Fund,2.0,Hybrid,Aggressive Hybrid Mutual Funds,-1.8,17.5,7.0,8.98
Invesco India Equity & Bond Fund,2.0,Hybrid,Aggressive Hybrid Mutual Funds,1.5,17.4,10.9,9.06
Indiabulls Bluechip Fund,2.0,Equity,Large Cap Mutual Funds,2.0,21.3,9.5,10.8
Quantum Long Term Equity Value Fund,2.0,Equity,Value Funds,2.4,26.5,8.8,9.84
PGIM India Hybrid Equity Fund,2.0,Hybrid,Aggressive Hybrid Mutual Funds,4.0,20.6,9.0,9.2
Bandhan Asset Allocation FoF – Aggressive-Direct Growth,2.0,Other,FoFs Domestic,-1.0,17.6,6.9,9.82
DSP Equity Savings Fund,2.0,Hybrid,Equity Savings Mutual Funds,4.0,14.6,7.8,8.67
HSBC Equity Savings Fund,2.0,Hybrid,Equity Savings Mutual Funds,2.9,15.5,7.5,8.73
IDBI Equity Savings Fund,2.0,Hybrid,Equity Savings Mutual Funds,2.5,11.8,7.2,8.61
Aditya Birla SL Equity Savings Fund,2.0,Hybrid,Equity Savings Mutual Funds,0.8,11.7,6.9,8.5
Aditya Birla SL Retirement-The 30s Plan-Dir Growth,2.0,Solution Oriented,Retirement Funds,0.0,17.9,10.9,10.11
AXIS Balanced Advantage Fund,2.0,Hybrid,Dynamic Asset Allocation or Balanced Advantage,1.2,12.4,8.0,7.5
UTI-Multi Asset Fund,2.0,Hybrid,Multi Asset Allocation Mutual Funds,4.9,16.5,7.5,9.59
Aditya Birla SL Bal Bhavishya Yojna – Dir Growth,2.0,Solution Oriented,Childrens Funds,-0.7,17.1,10.9,10.26
Aditya Birla SL Retirement-The 40s Plan-Dir Growth,2.0,Solution Oriented,Retirement Funds,-0.1,15.0,10.9,10.12
Edelweiss Banking & Psu Debt Fund,2.0,Debt,Banking and PSU Mutual Funds,3.5,6.9,7.9,8.4
DSP Regular Savings Fund,2.0,Hybrid,Conservative Hybrid Mutual Funds,3.0,10.8,6.0,7.86
Bandhan G Sec Fund,2.0,Debt,Gilt Mutual Funds,2.5,5.8,8.5,7.31
Invesco India Dynamic Equity Fund,2.0,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.9,15.4,7.4,7.46
Tata Retirement Savings Fund,2.0,Solution Oriented,Retirement Funds,2.1,9.5,7.1,9.92
Aditya Birla SL Banking&Financial Services-DirGrowth,2.0,Equity,Sectoral / Thematic Mutual Funds,5.3,24.6,9.2,9.31
Invesco India Equity Savings Fund,2.0,Hybrid,Equity Savings Mutual Funds,1.2,9.6,10.9,8.76
Union Equity Savings Fund,2.0,Hybrid,Equity Savings Mutual Funds,2.0,10.8,10.9,8.69
Bandhan Dynamic Bond Fund,2.0,Debt,Dynamic Bond,2.4,5.6,7.7,8.23
AXIS Dynamic Bond Fund,2.0,Debt,Dynamic Bond,3.4,6.5,7.7,8.84
L&T Conservative Hybrid Fund,2.0,Hybrid,Conservative Hybrid Mutual Funds,1.7,32.4,13.3,8.59
ICICI Pru Floating Interest Fund,2.0,Debt,Floater Mutual Funds,6.3,7.0,7.2,9.26
SBI Banking and PSU Fund,2.0,Debt,Banking and PSU Mutual Funds,3.8,6.2,7.0,8.26
Mirae Asset Dynamic Bond Fund,2.0,Debt,Dynamic Bond,2.8,4.5,7.2,8.73
Franklin India Banking & PSU Debt Fund,2.0,Debt,Banking and PSU Mutual Funds,4.2,6.1,7.2,8.35
Bandhan Asset Allocation FoF – Conservative – Dir Growth,2.0,Other,FoFs Domestic,3.0,9.6,6.6,9.71
Nippon India Retirement Fund,2.0,Solution Oriented,Retirement Funds,4.0,8.4,7.4,9.96
Invesco India Short Term Fund,2.0,Debt,Short Duration Funds,3.9,6.2,6.8,8.11
DSP Short Term Fund,2.0,Debt,Short Duration Funds,4.1,6.1,6.7,7.96
Bandhan Bond Fund,2.0,Debt,Medium to Long Duration Funds,2.0,4.8,7.0,6.46
Bandhan Regular Savings Fund,2.0,Hybrid,Conservative Hybrid Mutual Funds,0.9,7.7,6.0,7.89
Sundaram Debt Oriented Hybrid Fund,2.0,Hybrid,Conservative Hybrid Mutual Funds,4.1,11.6,6.2,7.89
Bandhan Credit Risk Fund,2.0,Debt,Credit Risk Funds,4.7,6.2,6.7,6.08
HSBC Short Duration Fund,2.0,Debt,Short Duration Funds,3.8,6.0,6.7,7.93
Bandhan Bond Fund,2.0,Debt,Medium Duration Funds,2.5,5.6,6.7,6.61
Baroda BNP Paribas Banking&Fin Serv Fund,2.0,Equity,Sectoral / Thematic Mutual Funds,6.6,19.2,9.1,9.35
Kotak Credit Risk Fund,2.0,Debt,Credit Risk Funds,1.6,5.9,6.4,5.73
ICICI Pru Savings Fund,2.0,Debt,Low Duration Funds,5.7,6.2,6.7,6.17
LIC MF Short Term Debt Fund,2.0,Debt,Short Duration Funds,3.7,5.7,10.9,8.08
IDBI Banking & Financial Services Fund,2.0,Equity,Sectoral / Thematic Mutual Funds,4.8,20.3,10.9,9.4
Baroda BNP Paribas Gilt Fund,2.0,Debt,Gilt Mutual Funds,3.7,4.9,6.8,7.19
Tata Gilt Securities Fund,2.0,Debt,Gilt Mutual Funds,5.2,4.8,6.9,7.29
DSP Corporate Bond Fund,2.0,Debt,Corporate Bond Mutual Funds,2.6,5.6,10.9,9.32
Baroda BNP Paribas Dynamic Bond Fund,2.0,Debt,Dynamic Bond,5.2,5.7,6.6,8.53
HSBC Flexi Debt Fund,2.0,Debt,Dynamic Bond,1.7,32.4,13.3,8.96
HDFC Gilt Fund,2.0,Debt,Gilt Mutual Funds,3.6,4.9,6.4,6.97
Bank of India Balanced Advantage Fund,2.0,Hybrid,Dynamic Asset Allocation or Balanced Advantage,13.6,12.1,5.1,7.17
Invesco India Treasury Advantage Fund,2.0,Debt,Low Duration Funds,4.9,5.6,6.4,5.86
LIC MF Banking & Fina Serv Fund,2.0,Equity,Sectoral / Thematic Mutual Funds,13.9,22.7,8.5,9.42
DSP Low Duration Fund,2.0,Debt,Low Duration Funds,5.1,5.5,6.3,5.85
LIC MF Bond Fund,2.0,Debt,Medium to Long Duration Funds,4.4,4.7,6.2,6.54
Sundaram Banking & PSU Debt Fund,2.0,Debt,Banking and PSU Mutual Funds,3.5,5.0,6.1,7.85
Bandhan Low Duration Fund,2.0,Debt,Low Duration Funds,4.9,5.4,6.2,5.84
Franklin India G-Sec Fund,2.0,Debt,Gilt Mutual Funds,3.5,4.1,6.3,7.46
HSBC Managed Solutions Conservative Fund,2.0,Other,FoFs Domestic,3.2,6.7,5.9,9.46
Canara Robeco Savings Fund,2.0,Debt,Low Duration Funds,5.0,5.2,5.9,6.01
Union Corporate Bond Fund,2.0,Debt,Corporate Bond Mutual Funds,3.1,6.2,10.9,9.28
SBI Magnum Ultra Short Duration Fund,2.0,Debt,Ultra Short Duration Funds,5.2,5.1,6.1,8.27
DSP Savings Fund,2.0,Debt,Money Market Funds,5.0,5.3,5.9,7.45
Bandhan Ultra Short Term Fund,2.0,Debt,Ultra Short Duration Funds,5.3,4.9,10.9,8.45
Invesco India Money Market Fund,2.0,Debt,Money Market Funds,5.0,5.1,5.8,7.56
Bank of India Ultra Short Duration Fund,2.0,Debt,Ultra Short Duration Funds,5.2,4.7,5.7,8.31
Sundaram Medium Term Bond Fund,2.0,Debt,Medium Duration Funds,2.5,5.0,5.3,6.49
Aditya Birla SL Retirement-The 50s Plan-Dir Growth,2.0,Solution Oriented,Retirement Funds,3.0,4.6,10.9,9.97
PGIM India Arbitrage Fund,2.0,Hybrid,Arbitrage Mutual Funds,5.3,4.5,5.2,6.39
SBI Arbitrage Opportunities Fund,2.0,Hybrid,Arbitrage Mutual Funds,5.8,4.5,5.4,6.4
Canara Robeco Ultra Short Term Fund,2.0,Debt,Ultra Short Duration Funds,5.2,4.5,5.3,8.41
HDFC Arbitrage Fund,2.0,Hybrid,Arbitrage Mutual Funds,5.6,4.5,5.2,6.43
Invesco India Credit Risk Fund,2.0,Debt,Credit Risk Funds,4.4,6.0,3.5,5.71
Indiabulls Short Term Fund,2.0,Debt,Short Duration Funds,4.4,5.1,5.9,7.79
Mahindra Manulife Dynamic Bond Fund,2.0,Debt,Dynamic Bond,3.4,4.4,10.9,8.87
LIC MF Arbitrage Fund,2.0,Hybrid,Arbitrage Mutual Funds,5.5,4.4,10.9,6.68
ICICI Pru Liquid Fund,2.0,Debt,Liquid Mutual Funds,5.6,4.3,5.3,7.44
L&T Liquid Fund,2.0,Debt,Liquid Mutual Funds,1.7,32.4,13.3,7.71
HDFC Liquid Fund,2.0,Debt,Liquid Mutual Funds,5.6,4.3,5.3,7.44
Kotak Liquid Fund,2.0,Debt,Liquid Mutual Funds,5.6,4.3,5.3,7.44
Canara Robeco Liquid Fund,2.0,Debt,Liquid Mutual Funds,5.6,4.1,5.1,7.49
Indiabulls Arbitrage Fund,2.0,Hybrid,Arbitrage Mutual Funds,4.3,3.3,4.5,6.62
Quantum Liquid Fund,2.0,Debt,Liquid Mutual Funds,5.4,4.0,4.9,7.72
Sundaram Overnight Fund,2.0,Debt,Overnight Mutual Funds,5.4,3.9,10.9,8.87
IIFL Liquid Fund,2.0,Debt,Liquid Mutual Funds,5.5,3.9,4.8,7.56
SBI Overnight Fund,2.0,Debt,Overnight Mutual Funds,5.3,3.9,4.6,9.02
ITI Liquid Fund,2.0,Debt,Liquid Mutual Funds,5.5,3.9,10.9,7.85
HDFC Overnight Fund,2.0,Debt,Overnight Mutual Funds,5.3,3.8,4.6,8.92
Nippon India Credit Risk Fund,2.0,Debt,Credit Risk Funds,4.8,9.5,4.4,5.98
UTI-Medium Term Fund,2.0,Debt,Medium Duration Funds,3.7,5.4,4.6,6.71
Franklin India Overnight Fund,2.0,Debt,Overnight Mutual Funds,5.3,3.8,10.9,9.01
Baroda BNP Paribas Corporate Bond Fund,2.0,Debt,Corporate Bond Mutual Funds,2.8,5.6,4.4,8.43
Baroda BNP Paribas Medium Duration Fund,2.0,Debt,Medium Duration Funds,3.9,5.0,3.5,6.2
JM Medium to Long Duration Fund,2.0,Debt,Medium to Long Duration Funds,2.5,4.8,3.1,6.12
Sundaram Low Duration Fund,2.0,Debt,Low Duration Funds,5.6,4.9,1.8,6.12
Nippon India Strategic Debt Fund,2.0,Debt,Medium Duration Funds,2.7,8.3,-0.9,6.29
Baroda BNP Paribas Money Market Fund,2.0,Debt,Money Market Funds,5.0,4.1,10.9,7.82
Kotak Floating Rate Fund,2.0,Debt,Floater Mutual Funds,4.6,7.0,10.9,9.54
WhiteOak Capital Ultra Short Term Fund,2.0,Debt,Ultra Short Duration Funds,5.3,4.5,10.9,8.43
ITI Long Term Equity Fund,2.0,Equity,ELSS Mutual Funds,5.6,23.7,10.9,9.79
Canara Robeco Overnight Fund,2.0,Debt,Overnight Mutual Funds,5.3,3.9,10.9,8.87
Edelweiss Overnight Fund,2.0,Debt,Overnight Mutual Funds,5.3,3.9,10.9,8.87
Motilal Oswal Nifty Bank Index Fund,2.0,Other,Index Funds,10.8,25.0,10.9,10.44
Motilal Oswal Nifty Smallcap 250 Index Fund,2.0,Other,Index Funds,-4.8,37.1,10.9,10.75
Motilal Oswal Nifty Next 50 Index Fund,2.0,Other,Index Funds,-5.9,21.8,10.9,10.67
AXIS Retirement Savings Fund,2.0,Solution Oriented,Retirement Funds,-1.3,13.6,10.9,10.11
AXIS Retirement Savings Fund,2.0,Solution Oriented,Retirement Funds,-2.5,10.3,10.9,10.11
BHARAT Bond FOF – April 2025 – Direct Growth,2.0,Other,FoFs Domestic,2.6,18.85,10.9,9.73
Union Medium Duration Fund,2.0,Debt,Medium Duration Funds,2.3,18.85,10.9,6.66
HSBC Corporate Bond Fund,2.0,Debt,Corporate Bond Mutual Funds,1.7,32.4,13.3,9.37
Baroda BNP Paribas Banking & PSU Bond Fund,2.0,Debt,Banking and PSU Mutual Funds,2.5,18.85,10.9,8.4
TRUSTMF Banking & PSU Debt Fund,2.0,Debt,Banking and PSU Mutual Funds,3.0,18.85,10.9,8.41
TRUSTMF Liquid Fund,2.0,Debt,Liquid Mutual Funds,5.6,18.85,10.9,7.43
ITI Ultra Short Duration Fund,2.0,Debt,Ultra Short Duration Funds,5.3,18.85,10.9,8.39
Invesco India Medium Duration Fund,2.0,Debt,Medium Duration Funds,3.5,18.85,10.9,6.6
AXIS Floater Fund,2.0,Debt,Floater Mutual Funds,5.8,18.85,10.9,9.49
TRUSTMF Short Term Fund,2.0,Debt,Short Duration Funds,4.2,18.85,10.9,7.94
Aditya Birla SL Midcap Fund,1.0,Equity,Mid Cap Mutual Funds,-3.6,28.0,8.3,8.0
Quantum Gold Savings Fund,1.0,Other,FoFs Domestic,14.3,11.7,13.0,10.4
IDBI Midcap Fund,1.0,Equity,Mid Cap Mutual Funds,-2.9,25.1,7.7,7.97
HSBC Infrastructure Equity Fund,1.0,Equity,Sectoral / Thematic Mutual Funds,5.9,43.3,7.8,7.34
Nippon India Vision Fund,1.0,Equity,Large & Mid Cap Funds,2.1,27.4,9.3,8.68
Aditya Birla SL Equity Advantage Fund,1.0,Equity,Large & Mid Cap Funds,-9.9,22.3,7.9,8.3
Nippon India Index Fund,1.0,Other,Index Funds,1.5,25.6,13.0,9.25
UTI-India Consumer Fund,1.0,Equity,Sectoral / Thematic Mutual Funds,-0.5,18.0,8.4,7.32
Aditya Birla SL Small Cap Fund,1.0,Equity,Small Cap Mutual Funds,-2.3,31.6,5.4,7.58
IDBI Nifty Next 50 Index Fund,1.0,Other,Index Funds,-6.1,21.8,6.2,8.4
ICICI Pru Nifty Next 50 Index Fund,1.0,Other,Index Funds,-6.4,22.0,6.1,8.39
Aditya Birla SL Pure Value Fund,1.0,Equity,Value Funds,3.0,29.8,4.3,5.97
HSBC ELSS Fund,1.0,Equity,ELSS Mutual Funds,-1.2,24.1,8.0,7.12
Nippon India Tax Saver (ELSS) Fund,1.0,Equity,ELSS Mutual Funds,1.8,27.3,6.5,7.01
LIC MF Children’s Gift Fund,1.0,Solution Oriented,Childrens Funds,-1.9,17.1,7.6,8.19
Taurus Largecap Equity Fund,1.0,Equity,Large Cap Mutual Funds,-2.5,19.5,7.6,8.0
DSP Top 100 Equity Fund,1.0,Equity,Large Cap Mutual Funds,3.6,21.8,8.9,8.85
LIC MF Equity Hybrid Fund,1.0,Hybrid,Aggressive Hybrid Mutual Funds,-0.5,15.1,8.3,7.34
Taurus Flexi Cap Fund,1.0,Equity,Flexi Cap Funds,-4.1,20.2,5.4,6.24
Aditya Birla SL Tax Relief ’96 – Direct Growth,1.0,Equity,ELSS Mutual Funds,-3.0,16.1,5.8,7.4
Nippon India Retirement Fund,1.0,Solution Oriented,Retirement Funds,1.3,25.3,6.7,8.78
HSBC Corporate Bond Fund,1.0,Debt,Corporate Bond Mutual Funds,3.3,6.6,7.6,8.26
UTI-Banking & PSU Debt Fund,1.0,Debt,Banking and PSU Mutual Funds,11.0,7.9,5.6,6.78
JM Focused Fund,1.0,Equity,Focused Funds,3.1,19.4,8.6,8.03
Nippon India Equity Hybrid Fund,1.0,Hybrid,Aggressive Hybrid Mutual Funds,4.2,24.3,5.9,7.18
HDFC Infrastructure Fund,1.0,Equity,Sectoral / Thematic Mutual Funds,16.5,34.3,5.3,7.42
Motilal Oswal Flexi Cap Fund,1.0,Equity,Flexi Cap Funds,-1.6,16.4,4.9,5.83
Motilal Oswal Balance Advantage Fund,1.0,Hybrid,Dynamic Asset Allocation or Balanced Advantage,0.3,9.9,5.6,7.81
Edelweiss Money Market Fund,1.0,Debt,Money Market Funds,4.9,4.7,7.3,7.25
Bandhan Bond Fund,1.0,Debt,Short Duration Funds,3.9,6.3,6.9,8.88
HSBC Banking and PSU Debt Fund,1.0,Debt,Banking and PSU Mutual Funds,2.2,6.0,6.5,6.31
Nippon India Dynamic Bond Fund,1.0,Debt,Dynamic Bond,3.6,5.6,6.7,7.26
Union Dynamic Bond Fund,1.0,Debt,Dynamic Bond,2.6,4.7,6.0,6.72
Franklin India Life Stage Fund,1.0,Other,FoFs Domestic,-0.7,33.7,11.3,10.28
Invesco India Gilt Fund,1.0,Debt,Gilt Mutual Funds,4.9,4.2,6.7,8.93
Invesco India Banking & PSU Debt Fund,1.0,Debt,Banking and PSU Mutual Funds,2.3,5.8,6.4,6.35
HSBC Medium to Long Duration Fund,1.0,Debt,Medium to Long Duration Funds,2.7,4.5,6.5,6.64
Franklin India Multi-Asset Solution Fund,1.0,Other,FoFs Domestic,4.1,8.7,5.3,9.74
HSBC Money Market Fund,1.0,Debt,Money Market Funds,5.2,4.9,6.0,7.02
IDBI Gilt Fund,1.0,Debt,Gilt Mutual Funds,1.7,32.4,13.3,9.48
Aditya Birla SL Retirement-The 50sPlus-Debt-DirGrowth,1.0,Solution Oriented,Retirement Funds,2.9,4.6,10.9,9.44
Navi Ultra Short Term Fund,1.0,Debt,Ultra Short Duration Funds,1.7,32.4,13.3,8.99
Indiabulls Liquid Fund,1.0,Debt,Liquid Mutual Funds,5.4,4.0,5.2,8.77
Motilal Oswal Ultra Short Term Fund,1.0,Debt,Ultra Short Duration Funds,4.7,3.9,1.8,8.35
UTI-Banking and Financial Services Fund,1.0,Equity,Sectoral / Thematic Mutual Funds,8.2,24.4,6.7,7.22
WhiteOak Capital Liquid Fund,1.0,Debt,Liquid Mutual Funds,5.3,3.8,10.9,9.33
Parag Parikh Liquid Fund,1.0,Debt,Liquid Mutual Funds,5.3,4.0,10.9,9.12
Bank of India Arbitrage Fund,1.0,Hybrid,Arbitrage Mutual Funds,4.2,3.4,10.9,7.23
Motilal Oswal Liquid Fund,1.0,Debt,Liquid Mutual Funds,5.2,3.8,10.9,9.33
JM Arbitrage Fund,1.0,Hybrid,Arbitrage Mutual Funds,5.4,3.7,4.5,7.33
Sundaram Arbitrage Fund,1.0,Hybrid,Arbitrage Mutual Funds,5.3,3.3,2.8,7.1
HSBC Short Duration Fund,1.0,Debt,Short Duration Funds,1.7,32.4,13.3,9.09
Nippon India Hybrid Bond Fund,1.0,Hybrid,Conservative Hybrid Mutual Funds,5.1,9.6,3.4,5.46
HSBC Low Duration Fund,1.0,Debt,Low Duration Funds,1.7,32.4,13.3,7.73
Franklin India Life Stage Fund,1.0,Other,FoFs Domestic,1.7,32.4,13.3,10.37
Nippon India Equity Savings Fund,1.0,Hybrid,Equity Savings Mutual Funds,3.9,12.2,1.3,5.09
PGIM India Low Duration Fund,1.0,Debt,Low Duration Funds,5.5,4.3,2.0,7.08
Indiabulls Overnight Fund,1.0,Debt,Overnight Mutual Funds,5.2,3.8,10.9,11.36
WhiteOak Capital Overnight Fund,1.0,Debt,Overnight Mutual Funds,1.7,32.4,13.3,11.38
ITI Arbitrage Fund,1.0,Hybrid,Arbitrage Mutual Funds,3.9,3.3,10.9,7.24
ITI Overnight Fund,1.0,Debt,Overnight Mutual Funds,5.2,3.8,10.9,11.36
LIC MF Ultra Short Term Fund,1.0,Debt,Ultra Short Duration Funds,5.0,4.5,10.9,8.84
ITI Balanced Advantage Fund,1.0,Hybrid,Dynamic Asset Allocation or Balanced Advantage,-0.2,12.3,10.9,8.47
AXIS Retirement Savings Fund,1.0,Solution Oriented,Retirement Funds,-4.1,14.0,10.9,9.49
ITI Small Cap Fund,1.0,Equity,Small Cap Mutual Funds,6.5,29.4,10.9,8.67
DSP Floater Fund,1.0,Debt,Floater Mutual Funds,4.4,18.85,10.9,9.79
ICICI Pru Bharat Consumption Fund,3.0,Equity,Sectoral / Thematic Mutual Funds,13.6,14.2,11.5,11.29
AXIS FTP – Series 109 – 111Days,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
Tata FMP – Sr.56,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
Aditya Birla SL FTP – Series RC Growth,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
Nippon India Fixed Horizon – XXXVII-Sr.6,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
Aditya Birla SL FTP – Series QF Growth,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
ICICI Pru FMP – Sr.83-1412Days,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
UTI-FTI – Series XXIX-IV(1422Days,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
ICICI Pru FMP – Sr.83-1406Days,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
Nippon India Fixed Horizon – XXXVII-Sr.4,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
ICICI Pru FMP – Sr.84-1247Days,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
Aditya Birla SL FTP – Series RL Growth,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
Aditya Birla SL FTP – Series PY Growth,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
Aditya Birla SL FTP – Series RN Growth,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
HDFC FMP-1261Days,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
Kotak FMP – Series 239 – 1330Days,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
Kotak FMP – Series 243 – 1319Days,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
L&T FMP – Series XVIII – Plan B Growth,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
ICICI Pru FMP – Sr.84-1293Days,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
HDFC FMP-1434Days,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
ICICI Pru FMP – Sr.83-1392Days,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
Aditya Birla SL FTP – Series SA Growth,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
HDFC FMP-1175Days,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
Canara Robeco CPO Fund,3.0,Hybrid,Conservative Hybrid Mutual Funds,11.2,14.5,14.0,10.19
L&T FMP – Series XVIII – Plan D Growth,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
HDFC FMP-1154Days,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
HDFC FMP-1133Days,3.0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,12.38
